material_id,property,raw_temperature,raw_temperature_unit,temperature_K,raw_value,raw_unit,value_SI,SI_unit,uncertainty_raw,condition,data_kind,source_id,source_locator,transformation,raw_source_file,raw_sheet,raw_row_number,raw_row_json
MAT-SS316-XLSX,thermal_diffusivity,500,°C,773.15,4.675,mm²/s,4.675,mm²/s,0.145079827648702,unspecified,measured,SRC-SS316-XLSX,Sheet1,T_K=T_C+273.15; SI=value,alloy_material_dataset_v0.1.xlsx,Curve_Data,24,"{""SI_unit"": ""mm²/s"", ""condition"": ""unspecified"", ""data_kind"": ""measured"", ""material_id"": ""MAT-SS316-XLSX"", ""property"": ""thermal_diffusivity"", ""source_id"": ""SRC-SS316-XLSX"", ""source_locator"": ""Sheet1"", ""temperature_K"": ""773.15"", ""transformation"": ""T_K=T_C+273.15; SI=value"", ""uncertainty_raw"": ""0.145079827648702"", ""value_SI"": ""4.675""}"
MAT-SS316-XLSX,thermal_conductivity,540,°C,813.15,21.1578688281408,W/(m·K),21.1578688281408,W/(m·K),1.26097451914981,unspecified,measured,SRC-SS316-XLSX,Sheet1,T_K=T_C+273.15; SI=value,alloy_material_dataset_v0.1.xlsx,Curve_Data,25,"{""SI_unit"": ""W/(m·K)"", ""condition"": ""unspecified"", ""data_kind"": ""measured"", ""material_id"": ""MAT-SS316-XLSX"", ""property"": ""thermal_conductivity"", ""source_id"": ""SRC-SS316-XLSX"", ""source_locator"": ""Sheet1"", ""temperature_K"": ""813.15"", ""transformation"": ""T_K=T_C+273.15; SI=value"", ""uncertainty_raw"": ""1.26097451914981"", ""value_SI"": ""21.1578688281408""}"
MAT-SS316-XLSX,specific_heat,540,°C,813.15,0.54016949826732,J/(g·K),540.16949826732,J/(kg·K),0.0288419686961037,unspecified,measured,SRC-SS316-XLSX,Sheet1,T_K=T_C+273.15; SI=value×1000,alloy_material_dataset_v0.1.xlsx,Curve_Data,26,"{""SI_unit"": ""J/(kg·K)"", ""condition"": ""unspecified"", ""data_kind"": ""measured"", ""material_id"": ""MAT-SS316-XLSX"", ""property"": ""specific_heat"", ""source_id"": ""SRC-SS316-XLSX"", ""source_locator"": ""Sheet1"", ""temperature_K"": ""813.15"", ""transformation"": ""T_K=T_C+273.15; SI=value×1000"", ""uncertainty_raw"": ""0.0288419686961037"", ""value_SI"": ""540.16949826732""}"
MAT-SS316-XLSX,thermal_diffusivity,540,°C,813.15,4.75466666666667,mm²/s,4.75466666666667,mm²/s,0.147493376006356,unspecified,measured,SRC-SS316-XLSX,Sheet1,T_K=T_C+273.15; SI=value,alloy_material_dataset_v0.1.xlsx,Curve_Data,27,"{""SI_unit"": ""mm²/s"", ""condition"": ""unspecified"", ""data_kind"": ""measured"", ""material_id"": ""MAT-SS316-XLSX"", ""property"": ""thermal_diffusivity"", ""source_id"": ""SRC-SS316-XLSX"", ""source_locator"": ""Sheet1"", ""temperature_K"": ""813.15"", ""transformation"": ""T_K=T_C+273.15; SI=value"", ""uncertainty_raw"": ""0.147493376006356"", ""value_SI"": ""4.75466666666667""}"
MAT-SS316-XLSX,thermal_conductivity,580,°C,853.15,21.7806228277188,W/(m·K),21.7806228277188,W/(m·K),1.42513100954097,unspecified,measured,SRC-SS316-XLSX,Sheet1,T_K=T_C+273.15; SI=value,alloy_material_dataset_v0.1.xlsx,Curve_Data,28,"{""SI_unit"": ""W/(m·K)"", ""condition"": ""unspecified"", ""data_kind"": ""measured"", ""material_id"": ""MAT-SS316-XLSX"", ""property"": ""thermal_conductivity"", ""source_id"": ""SRC-SS316-XLSX"", ""source_locator"": ""Sheet1"", ""temperature_K"": ""853.15"", ""transformation"": ""T_K=T_C+273.15; SI=value"", ""uncertainty_raw"": ""1.42513100954097"", ""value_SI"": ""21.7806228277188""}"
MAT-SS316-XLSX,specific_heat,580,°C,853.15,0.546641184940611,J/(g·K),546.641184940611,J/(kg·K),0.0336983303466306,unspecified,measured,SRC-SS316-XLSX,Sheet1,T_K=T_C+273.15; SI=value×1000,alloy_material_dataset_v0.1.xlsx,Curve_Data,29,"{""SI_unit"": ""J/(kg·K)"", ""condition"": ""unspecified"", ""data_kind"": ""measured"", ""material_id"": ""MAT-SS316-XLSX"", ""property"": ""specific_heat"", ""source_id"": ""SRC-SS316-XLSX"", ""source_locator"": ""Sheet1"", ""temperature_K"": ""853.15"", ""transformation"": ""T_K=T_C+273.15; SI=value×1000"", ""uncertainty_raw"": ""0.0336983303466306"", ""value_SI"": ""546.641184940611""}"
MAT-SS316-XLSX,thermal_diffusivity,580,°C,853.15,4.83666666666667,mm²/s,4.83666666666667,mm²/s,0.146622697363493,unspecified,measured,SRC-SS316-XLSX,Sheet1,T_K=T_C+273.15; SI=value,alloy_material_dataset_v0.1.xlsx,Curve_Data,30,"{""SI_unit"": ""mm²/s"", ""condition"": ""unspecified"", ""data_kind"": ""measured"", ""material_id"": ""MAT-SS316-XLSX"", ""property"": ""thermal_diffusivity"", ""source_id"": ""SRC-SS316-XLSX"", ""source_locator"": ""Sheet1"", ""temperature_K"": ""853.15"", ""transformation"": ""T_K=T_C+273.15; SI=value"", ""uncertainty_raw"": ""0.146622697363493"", ""value_SI"": ""4.83666666666667""}"
MAT-SS316-XLSX,thermal_conductivity,620,°C,893.15,22.496832015319,W/(m·K),22.496832015319,W/(m·K),1.52877253082946,unspecified,measured,SRC-SS316-XLSX,Sheet1,T_K=T_C+273.15; SI=value,alloy_material_dataset_v0.1.xlsx,Curve_Data,31,"{""SI_unit"": ""W/(m·K)"", ""condition"": ""unspecified"", ""data_kind"": ""measured"", ""material_id"": ""MAT-SS316-XLSX"", ""property"": ""thermal_conductivity"", ""source_id"": ""SRC-SS316-XLSX"", ""source_locator"": ""Sheet1"", ""temperature_K"": ""893.15"", ""transformation"": ""T_K=T_C+273.15; SI=value"", ""uncertainty_raw"": ""1.52877253082946"", ""value_SI"": ""22.496832015319""}"
MAT-SS316-XLSX,specific_heat,620,°C,893.15,0.555881576284043,J/(g·K),555.881576284043,J/(kg·K),0.0359957474633246,unspecified,measured,SRC-SS316-XLSX,Sheet1,T_K=T_C+273.15; SI=value×1000,alloy_material_dataset_v0.1.xlsx,Curve_Data,32,"{""SI_unit"": ""J/(kg·K)"", ""condition"": ""unspecified"", ""data_kind"": ""measured"", ""material_id"": ""MAT-SS316-XLSX"", ""property"": ""specific_heat"", ""source_id"": ""SRC-SS316-XLSX"", ""source_locator"": ""Sheet1"", ""temperature_K"": ""893.15"", ""transformation"": ""T_K=T_C+273.15; SI=value×1000"", ""uncertainty_raw"": ""0.0359957474633246"", ""value_SI"": ""555.881576284043""}"
MAT-SS316-XLSX,thermal_diffusivity,620,°C,893.15,4.91266666666667,mm²/s,4.91266666666667,mm²/s,0.152195936465618,unspecified,measured,SRC-SS316-XLSX,Sheet1,T_K=T_C+273.15; SI=value,alloy_material_dataset_v0.1.xlsx,Curve_Data,33,"{""SI_unit"": ""mm²/s"", ""condition"": ""unspecified"", ""data_kind"": ""measured"", ""material_id"": ""MAT-SS316-XLSX"", ""property"": ""thermal_diffusivity"", ""source_id"": ""SRC-SS316-XLSX"", ""source_locator"": ""Sheet1"", ""temperature_K"": ""893.15"", ""transformation"": ""T_K=T_C+273.15; SI=value"", ""uncertainty_raw"": ""0.152195936465618"", ""value_SI"": ""4.91266666666667""}"
